record_name,measured_gwl,caution_flag,latitude,longitude,nztm_y,nztm_x,model_gwl,measured_minus_model,type,type_as_number
CPT_95,2.8,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.521860001,172.667107287,5181177.066106219,1573097.2157388786,0.3045682907104492,2.4954317092895506,cpt,1
CPT_96,1.8,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.515818241,172.668669984,5181848.559072557,1573220.833547707,0.4163446426391601,1.38365535736084,cpt,1
CPT_97,1.4,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.514557508,172.668261582,5181988.442597073,1573187.2669584656,0.4163446426391601,0.9836553573608398,cpt,1
CPT_98,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.516271082,172.671718001,5181799.2436635485,1573467.3827236784,0.4509515762329101,1.5490484237670898,cpt,1
CPT_99,2.1,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.518136885,172.668925465,5181591.136197742,1573242.506932829,0.389864444732666,1.710135555267334,cpt,1
CPT_100,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.524627073,172.661030595,5180867.77616032,1572607.3785086498,0.21075439453125,1.78924560546875,cpt,1
CPT_101,1.9,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.52164102,172.661225802,5181199.467272444,1572621.8031579277,0.2626128196716308,1.637387180328369,cpt,1
CPT_102,1.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.521574965,172.664302087,5181207.810926308,1572870.3851373328,0.2611374855041504,1.2388625144958496,cpt,1
CPT_103,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.521742927,172.667125379,5181190.074026838,1573098.625829008,0.3045682907104492,1.6954317092895508,cpt,1
CPT_104,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.521372557,172.670980074,5181232.4458991,1573409.9818242446,0.3552217483520508,1.6447782516479492,cpt,1
